origin_country,total_aircraft,airborne_count,grounded_count,avg_velocity,median_velocity,min_velocity,max_velocity,avg_velocity_kmh,high_speed_aircraft,airborne_percentage,grounded_percentage,traffic_rank,velocity_rank
Afghanistan,1,1,0,196.91,196.91,196.91,196.91,708.88,0,100.0,0.0,52,42
Algeria,13,12,1,200.6,228.87,0.0,269.7,722.17,2,92.31,7.69,41,38
Angola,1,1,0,241.04,241.04,241.04,241.04,867.74,0,100.0,0.0,52,6
Antigua And Barbuda,1,1,0,225.77,225.77,225.77,225.77,812.77,0,100.0,0.0,52,18
Argentina,15,14,1,134.87,139.63,0.0,249.98,485.55,0,93.33,6.67,39,92
Australia,38,24,14,93.75,69.18,0.0,263.49,337.49,3,63.16,36.84,27,103
Austria,132,116,16,167.47,210.94,0.0,252.85,602.9,2,87.88,12.12,15,66
Azerbaijan,5,5,0,245.27,240.88,221.51,265.89,882.98,2,100.0,0.0,48,3
Bahamas,3,3,0,147.08,127.6,112.85,200.8,529.5,0,100.0,0.0,50,87
Bahrain,10,10,0,214.44,231.31,69.46,277.02,771.97,4,100.0,0.0,44,25
Bangladesh,7,6,1,200.88,247.74,0.0,430.37,723.17,3,85.71,14.29,46,37
Belgium,37,31,6,179.1,217.41,2.83,245.54,644.75,0,83.78,16.22,28,57
Bolivia,2,2,0,167.14,167.14,82.64,251.64,601.7,1,100.0,0.0,51,67
Brazil,144,129,15,154.74,178.9,0.0,264.0,557.08,8,89.58,10.42,12,79
Brunei Darussalam,2,2,0,231.24,231.24,216.31,246.18,832.48,0,100.0,0.0,51,14
Bulgaria,28,24,4,174.12,214.17,0.0,255.87,626.85,3,85.71,14.29,32,60
Cambodia,3,3,0,234.1,234.71,230.76,236.84,842.77,0,100.0,0.0,50,11
Canada,525,432,93,130.9,133.25,0.0,292.32,471.25,58,82.29,17.71,3,93
Chad,1,1,0,269.09,269.09,269.09,269.09,968.72,1,100.0,0.0,52,1
Chile,47,44,3,178.92,198.07,0.06,264.17,644.13,1,93.62,6.38,23,58
China,164,150,14,193.99,227.98,0.0,284.36,698.35,41,91.46,8.54,10,46
Colombia,31,23,8,114.78,117.78,0.0,243.13,413.19,0,74.19,25.81,30,96
Costa Rica,7,6,1,67.83,70.09,7.72,107.76,244.18,0,85.71,14.29,46,104
Croatia,11,10,1,153.28,146.46,10.8,240.56,551.8,0,90.91,9.09,43,81
Cyprus,4,3,1,136.71,145.54,0.0,255.77,492.16,2,75.0,25.0,49,90
Czech Republic,44,41,3,149.59,192.58,0.06,262.37,538.53,1,93.18,6.82,25,84
Côte D'Ivoire,1,1,0,213.89,213.89,213.89,213.89,770.0,0,100.0,0.0,52,28
Denmark,24,21,3,153.86,182.12,0.9,255.99,553.89,2,87.5,12.5,34,80
Dominican Republic,4,4,0,193.72,221.36,86.95,245.2,697.38,0,100.0,0.0,49,47
Egypt,47,45,2,212.58,237.77,0.77,285.74,765.3,9,95.74,4.26,23,29
Estonia,8,8,0,214.18,237.06,73.4,241.9,771.05,0,100.0,0.0,45,26
Ethiopia,7,5,2,185.15,252.34,1.03,286.79,666.53,4,71.43,28.57,46,54
Finland,38,32,6,156.66,207.13,0.64,269.2,563.99,4,84.21,15.79,27,77
France,218,201,17,161.78,200.74,0.0,285.87,582.4,10,92.2,7.8,8,72
Georgia,4,2,2,145.66,158.44,0.0,265.77,524.38,1,50.0,50.0,49,89
Germany,369,344,25,149.2,189.48,0.0,285.55,537.12,21,93.22,6.78,4,85
Greece,52,42,10,148.24,180.24,0.0,250.1,533.67,1,80.77,19.23,22,86
Guatemala,7,5,2,40.37,46.17,0.0,75.34,145.33,0,71.43,28.57,46,108
Hungary,70,69,1,190.56,214.28,4.89,254.61,686.03,1,98.57,1.43,19,50
Iceland,16,14,2,163.93,200.12,0.32,252.45,590.16,1,87.5,12.5,38,68
India,136,122,14,171.86,209.03,0.0,288.5,618.7,9,89.71,10.29,14,63
Indonesia,7,7,0,158.52,180.42,72.7,216.16,570.68,0,100.0,0.0,46,75
Iraq,2,1,1,101.92,101.92,2.06,201.79,366.93,0,50.0,50.0,51,99
Ireland,355,324,31,188.54,224.94,0.0,257.84,678.75,15,91.27,8.73,5,53
Islamic Republic Of Iran,1,1,0,226.5,226.5,226.5,226.5,815.4,0,100.0,0.0,52,17
Israel,43,38,5,195.63,226.31,4.37,268.25,704.26,6,88.37,11.63,26,45
Italy,36,32,4,99.12,72.38,0.0,251.45,356.82,1,88.89,11.11,29,102
Japan,36,33,3,215.94,242.66,0.0,278.52,777.37,12,91.67,8.33,29,24
Jordan,14,14,0,218.88,247.02,4.15,263.36,787.99,4,100.0,0.0,40,23
Kazakhstan,2,2,0,202.6,202.6,200.17,205.02,729.34,0,100.0,0.0,51,36
Kenya,3,2,1,65.34,70.39,3.86,121.78,235.24,0,66.67,33.33,50,106
Kingdom Of The Netherlands,116,102,14,159.76,186.6,0.0,285.12,575.13,7,87.93,12.07,16,74
Kuwait,16,15,1,205.43,245.11,6.94,271.38,739.54,5,93.75,6.25,38,33
Latvia,29,23,6,150.52,192.81,0.0,245.0,541.88,0,79.31,20.69,31,82
Lebanon,2,2,0,241.99,241.99,229.38,254.6,871.16,1,100.0,0.0,51,5
Liberia,1,1,0,107.53,107.53,107.53,107.53,387.11,0,100.0,0.0,52,97
Libyan Arab Jamahiriya,3,3,0,235.28,232.16,230.92,242.76,847.01,0,100.0,0.0,50,9
Lithuania,17,13,4,162.01,220.78,1.03,254.16,583.22,1,76.47,23.53,37,71
Luxembourg,29,28,1,189.6,211.14,5.14,284.05,682.58,5,96.55,3.45,31,52
Malaysia,20,20,0,228.59,240.0,105.74,260.69,822.92,5,100.0,0.0,36,15
Malta,279,257,22,191.37,223.17,0.0,1434.09,688.94,14,92.11,7.89,7,49
Mexico,143,134,9,178.19,221.96,0.0,254.3,641.49,2,93.71,6.29,13,59
Morocco,38,35,3,197.31,229.58,0.0,283.97,710.33,4,92.11,7.89,27,41
Mozambique,1,1,0,195.82,195.82,195.82,195.82,704.95,0,100.0,0.0,52,44
Myanmar,1,1,0,237.02,237.02,237.02,237.02,853.27,0,100.0,0.0,52,7
Nepal,2,2,0,173.26,173.26,111.35,235.18,623.76,0,100.0,0.0,51,62
New Zealand,12,8,4,102.01,73.61,0.0,308.3,367.23,1,66.67,33.33,42,98
Norway,58,46,12,101.0,60.16,0.0,259.89,363.59,2,79.31,20.69,21,100
Oman,10,9,1,208.79,241.5,24.83,249.3,751.63,0,90.0,10.0,44,32
Pakistan,7,6,1,190.27,237.32,0.06,246.24,684.97,0,85.71,14.29,46,51
Panama,23,23,0,220.56,231.83,98.27,238.82,794.01,0,100.0,0.0,35,21
Paraguay,1,1,0,66.9,66.9,66.9,66.9,240.84,0,100.0,0.0,52,105
Philippines,8,8,0,199.89,220.1,126.22,261.51,719.6,1,100.0,0.0,45,39
Poland,145,139,6,160.49,210.24,0.0,263.53,577.78,4,95.86,4.14,11,73
Portugal,69,60,9,163.79,201.78,0.0,252.1,589.63,1,86.96,13.04,20,69
Qatar,72,71,1,234.04,249.88,3.6,284.0,842.53,36,98.61,1.39,18,12
Republic Of Korea,46,44,2,222.7,245.16,0.0,277.19,801.73,13,95.65,4.35,24,20
